ANO_CONCESSAO_BOLSA;NOME_IES_BOLSA;TIPO_BOLSA;MODALIDADE_ENSINO_BOLSA;NOME_CURSO_BOLSA;NOME_TURNO_CURSO_BOLSA;SEXO_BENEFICIARIO_BOLSA;RACA_BENEFICIARIO_BOLSA;DT_NASCIMENTO_BENEFICIARIO;BENEFICIARIO_DEFICIENTE_FISICO;SIGLA_UF_BENEFICIARIO_BOLSA;MUNICIPIO_BENEFICIARIO_BOLSA;IDADE
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Odontologia;Integral;M;Parda;1995-10-05;N;MG;SAO SEBASTIAO DO PARAISO;25
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Odontologia;Integral;F;Branca;2000-06-16;N;MG;RIO PARANAIBA;20
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Odontologia;Integral;M;Parda;2000-05-31;N;MG;UBERABA;20
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Odontologia;Integral;F;Parda;1997-02-12;N;MG;DIVINOPOLIS;24
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Odontologia;Noturno;F;Branca;2000-04-12;N;MG;UBERABA;20
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Odontologia;Noturno;F;Branca;1996-04-04;N;MG;SAO SEBASTIAO DO PARAISO;24
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Pedagogia;Noturno;F;Preta;1997-02-23;N;MG;UBERABA;24
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Produção Audiovisual;Noturno;M;Branca;1999-04-21;N;MG;UBERABA;21
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Psicologia;Integral;F;Branca;1998-11-16;N;MG;UBERABA;22
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Psicologia;Integral;F;Parda;2000-07-04;N;MG;UBERABA;20
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Psicologia;Integral;F;Parda;1998-11-08;N;MG;JANAUBA;22
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Psicologia;Noturno;F;Parda;2000-03-16;N;MG;LAVRAS;21
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Psicologia;Noturno;F;Branca;1998-05-14;N;MG;ARAXA;22
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Psicologia;Noturno;F;Branca;2000-01-07;N;MG;UBERABA;21
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Psicologia;Noturno;M;Parda;1999-06-24;N;MG;UBERABA;21
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Psicologia;Noturno;F;Preta;1995-07-12;N;MG;UBERABA;25
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Psicologia;Noturno;F;Preta;2000-12-22;N;MG;UBERABA;20
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Sistema De Informação;Noturno;M;Branca;1999-10-18;N;MG;GUARDA-MOR;21
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Sistema De Informação;Noturno;M;Parda;2000-02-13;N;MG;CONCEICAO DAS ALAGOAS;21
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Sistemas De Informação;Noturno;M;Branca;1999-10-18;N;MG;GUARDA-MOR;21
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Sistemas De Informação;Noturno;F;Preta;1999-06-09;N;MG;UBERABA;21
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Sistemas De Informação;Noturno;F;Branca;1999-08-10;N;MG;UBERABA;21
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;Presencial;Sistemas De Informação;Noturno;M;Parda;2000-02-13;N;MG;CONCEICAO DAS ALAGOAS;21
2018;FACULDADE DE EDUCAÇÃO CIÊNCIAS E ARTES DOM BOSCO DE MONTE APRAZÍVEL;BOLSA INTEGRAL;Presencial;Direito;Noturno;F;Preta;1999-09-12;N;MG;MONTALVANIA;21
2018;CENTRO UNIVERSITÁRIO DE RIO PRETO;BOLSA INTEGRAL;Presencial;Ciências Contábeis;Noturno;F;Branca;2000-09-02;N;MG;ITAPAGIPE;20
2018;CENTRO UNIVERSITÁRIO DE RIO PRETO;BOLSA INTEGRAL;Presencial;Direito;Noturno;F;Branca;1999-06-30;N;MG;FRONTEIRA;21
2018;CENTRO UNIVERSITÁRIO DE RIO PRETO;BOLSA INTEGRAL;Presencial;Medicina Veterinária;Matutino;M;Branca;1998-10-06;N;MG;CANAPOLIS;22
2018;UNIVERSIDADE CRUZEIRO DO SUL;BOLSA PARCIAL 50%;EAD;Gestão Da Tecnologia Da Informação;Curso a distância;M;Preta;1991-02-07;N;MG;JOAO PINHEIRO;30
